date,price,gpu_name
2023-10-21,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-22,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-23,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-24,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-25,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-26,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-27,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-28,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-29,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-30,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-10-31,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-01,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-02,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-03,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-04,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-05,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-06,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-07,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-08,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-09,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-10,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-11,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-12,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-13,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-14,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-15,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-16,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-17,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-18,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-19,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-20,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-21,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-22,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-23,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-24,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-25,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-26,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-27,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-28,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-29,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
2023-11-30,,Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card (GV-N5070WF3OC-12GD) - PCPartPicker
